id,name,category,address,district,hours,rating,chain,seats
320f9a06c02c4a838063128a22d682c8,GlowSubs,быстрое питание,"Москва, Ломоносовский проспект, 11/70",Юго-Западный административный округ,"пн-пт 08:00–23:00; сб,вс 10:00–23:00",4.3,1,
42c12882708f42c0985bc63d3bcaaac2,Домино'с Пицца,пиццерия,"Москва, улица Дмитрия Ульянова, 12, корп. 1",Юго-Западный административный округ,"ежедневно, 10:00–00:00",4.1,1,90.0
cbcb46c0256648858bc06ff821a9483a,Шоколадница,кофейня,"Москва, Ломоносовский проспект, 25, корп. 1",Западный административный округ,пн-чт 07:30–23:00; пт 07:30–00:00; сб круглосуточно; вс 00:00–23:00,4.1,1,220.0
7dc1b966a0014b4aab7990e6ec0d1799,Каховка-нова,кафе,"Москва, улица Дмитрия Ульянова, 24/1",Юго-Западный административный округ,"ежедневно, круглосуточно",4.2,0,
2a2b4212ed024250a42d06221bfb5ed7,Грузинская кухня,кафе,"Москва, улица Дмитрия Ульянова, 12, корп. 1",Юго-Западный административный округ,"ежедневно, 09:00–22:00",4.4,1,90.0
fcd69e3a3c5b437ca3beda0a6fbf73d5,Мармелад,кафе,"Москва, улица Гарибальди, 1А",Юго-Западный административный округ,"ежедневно, 11:00–23:00",4.1,0,600.0
80ad087e6c024f70bd27049488ad4b20,Роскошное Море,ресторан,"Москва, улица Вавилова, 66, стр. 4",Юго-Западный административный округ,"ежедневно, 14:00–02:00",4.7,0,15.0
a125ff28c2244b4880a60426782541e2,Кафе,кафе,"Москва, проспект Вернадского, 100",Западный административный округ,,3.9,0,
2c49162903744fefbaa892cf14698f71,Новатор кофе,кофейня,"Москва, Ленинский проспект, 85",Юго-Западный административный округ,"пн-пт 08:00–22:00; сб,вс 09:00–22:00",4.3,0,42.0
1bbfe9694c394d9cabc06748d9892c6b,Гастро Бистро Шаверма-Братуха,быстрое питание,"Москва, улица Дмитрия Ульянова, 16, корп. 1",Юго-Западный административный округ,"ежедневно, круглосуточно",4.1,1,90.0
e15dc3fab57042199e6fd2f1b0859c17,Cofix,кофейня,"Москва, Усачёва улица, 29к1",Центральный административный округ,"пн-пт 07:00–22:00; сб,вс 08:00–22:00",4.2,1,
4ff1753b133147c18159dd3247607f37,One Price Coffee,кофейня,"Москва, улица Вавилова, 64/1с1",Юго-Западный административный округ,"ежедневно, 08:00–21:00",4.3,1,
efadf2cfb8e5411bb407ec86fdd16a21,Донер кебаб,быстрое питание,"Москва, Ломоносовский проспект, 19А",Юго-Западный административный округ,"ежедневно, круглосуточно",4.4,1,0.0
24c35080ad1c493d9900c2144199596d,Лаки Сувлаки,быстрое питание,"Москва, Пушкинская набережная",Центральный административный округ,"ежедневно, 10:00–22:00",4.2,1,
df09864c25634e41a61411897dc866b7,Универ,кафе,"Москва, Западный административный округ, район Раменки, микрорайон Ленинские Горы, 1, стр. 51",Западный административный округ,пн-пт 09:00–20:00; сб 09:00–18:00,1.0,0,
9714617800ad4f00a51b4b3690980bb8,Классика бокса,кафе,"Москва, Лужнецкая набережная, 8с1",Центральный административный округ,"ежедневно, круглосуточно",4.0,0,
c19c8435ba654fe9a20178c208f638e9,У Роберта,кафе,"Москва, Университетский проспект, 4",Юго-Западный административный округ,"пт,сб 19:00–23:00",4.0,0,
d362e962dea049b8afdf8c60cfe65a5a,Piccolo Coffee,ресторан,"Москва, улица Орджоникидзе, 12, стр. 4",Южный административный округ,пн-пт 08:00–19:00,4.1,0,0.0
d880cd3fff9c473f84b3b886675b711d,"Wasabi, суши-бар",кафе,"Москва, улица Ивана Бабушкина, 18, корп. 2",Юго-Западный административный округ,"ежедневно, круглосуточно",4.3,0,
b586342dc7604480895e52262f699dbf,Кулинариум,булочная,"Москва, Ломоносовский проспект, 19А",Юго-Западный административный округ,"пн-пт 09:00–22:00; сб,вс 09:00–21:00",4.1,1,0.0
adb1c9f2d8fd4e3795efec1e9b1f6fa6,One price coffee,кофейня,"Москва, улица Шаболовка, 24",Центральный административный округ,"пн-пт 08:00–20:00; сб,вс 08:30–19:30",4.4,0,40.0
a3dff78d87c6466c86ebcd048c49fb07,Паэлья Хаус,быстрое питание,"Москва, Пушкинская набережная",Центральный административный округ,"ежедневно, 10:00–22:00",4.1,0,
ff3ddbddb0f2424580f21c0523679ad1,От мяса ДО рыбы,ресторан,"Москва, улица Вавилова, 64/1с1",Юго-Западный административный округ,"пн-пт 12:00–00:00; сб,вс 11:00–00:00",4.3,0,
2f8602493f5a4978aba729390634d55d,Чайхана ОШ сити,кафе,"Москва, проспект 60-летия Октября, 10",Юго-Западный административный округ,"ежедневно, 09:00–06:00",4.3,0,45.0
0132f2b630e84de6a2d8b8716124cd89,Кафетерий,кафе,"Москва, Духовской переулок, 17",Южный административный округ,,4.4,1,4.0
005620bc2491461fb2ed8b79b5fe5cbc,Steel bar & kitchen,"бар,паб","Москва, Ленинский проспект, 4, стр. 1А",Центральный административный округ,вт-чт 12:00–23:00; пт 12:00–02:00; сб 15:00–02:00,4.5,0,50.0
4f3f59b90c784ddeae22579eaece3d23,Восточный двор,кафе,"Москва, Большая Черёмушкинская улица, 2А, стр. 1",Юго-Западный административный округ,"ежедневно, круглосуточно",4.0,0,64.0
5cc268ad8202495587c58f70cf9e606a,Дядя Джо,кафе,"Москва, улица Вавилова, 64/1с3",Юго-Западный административный округ,"ежедневно, 09:00–22:00",4.2,0,
