id,price,avg_bill,middle_avg_bill,middle_coffee_cup
6ac4556d20294c41b132bba0121287de,,Средний счёт:313 ₽,313.0,
c8dcd9da3ee04dd18848e2d9e35e8e12,,Цена чашки капучино:150–180 ₽,,165.0
a1f1d998554647679f607a25d12ee9fd,,Цена чашки капучино:от 90 ₽,,90.0
c729863cf755487eaf982eb8eef4c300,средние,Цена чашки капучино:110–170 ₽,,140.0
1dde5eca5ec543029ab9c207fcebecf1,средние,,,
8f02c73ba1774109b51c3820037af10d,средние,Средний счёт:240–360 ₽,300.0,
fc4b900d347247cc968780df0ef24318,средние,Цена чашки капучино:105–145 ₽,,125.0
65dde91cacfb4d9aa5472f70a0d60f4d,средние,Средний счёт:200–300 ₽,250.0,
3881fe40fe2e4e4486d4df51dccc9687,средние,Средний счёт:300–1000 ₽,650.0,
62fd80fa7cf845e4b37f6ba3abb36b84,средние,Средний счёт:300–500 ₽,400.0,
b2dbba01ce8a4fed8bf31930cf386585,средние,Средний счёт:600–700 ₽,650.0,
ee9e56ceeadf44f8ad7ccdec62f9caf7,средние,Средний счёт:500–1000 ₽,750.0,
48e28358271240bfa57d17c7514adf4a,высокие,Средний счёт:2000–3000 ₽,2500.0,
48007d08bf2f480c96aa2563e0f9e622,,Цена чашки капучино:130–190 ₽,,160.0
1a84ffb61a404b9fb82a01b3d2102840,высокие,Средний счёт:1500–2000 ₽,1750.0,
6398d064a9db46208b7512fdbc7dbf89,средние,Средний счёт:1000–1200 ₽,1100.0,
233c81c1f796483d8fb8453807d15f71,выше среднего,Средний счёт:1000–1500 ₽,1250.0,
303e2937cb05419db8656a65864f3fc3,,Цена чашки капучино:155–170 ₽,,162.0
69d6d580c70e4f99a628a954fc7b84e4,,Средний счёт:1000–1500 ₽,1250.0,
955953ae027a44bfa0647a94bd2418ea,средние,Цена чашки капучино:130–180 ₽,,155.0
4a85a84e82c94bda93f15ffb0f364b85,средние,Средний счёт:от 300 ₽,300.0,
7bff589f01984ae08f4596f18c3a54bb,высокие,Средний счёт:1500–2000 ₽,1750.0,
17b8a66fb2cb4926ad756eee108e8fc4,средние,Средний счёт:300–500 ₽,400.0,
0611f2d97f7049609481abb6d044c31e,средние,Средний счёт:800–1200 ₽,1000.0,
7469835cef394c158ae19b7bdbf55a33,,Средний счёт:900–1100 ₽,1000.0,
